d,m,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
2.8500,5.5100,-6.22,-2.92,-1.04,-0.55,0.24,0.49,-0.25,-1.18,-1.49,-0.5,-0.62,-0.66,-0.62
3.8000,5.9500,-13.14,-1.13,-1.17,-1.47,-0.54,0.6,-2.11,-1.94,-1.92,-1.07,-0.19,-1.49,0.31
2.2200,5.3500,-10.37,-3.07,0.44,-0.95,-1.07,0.46,-0.58,-0.16,-0.15,-0.21,-0.49,-0.27,-0.59
4.6700,4.7100,-16.43,-2.65,-1.66,-2.33,-2.84,-0.3,-0.4,0.74,0.75,0.59,0.61,-0.52,-0.05
3.0800,6.2000,-6.94,-0.25,0.68,-1.08,0.65,0.66,-0.22,1.1,-0.61,0.33,-0.22,0.05,0.45
4.5200,6.5200,-7.61,2.52,0.48,-1.38,-0.36,0.62,-0.8,0.14,0.0,0.08,0.03,0.04,0.31
2.1200,5.3500,-10.3,-1.68,1.87,-0.17,-0.58,0.18,-1.1,0.03,-0.17,-0.41,-0.08,-0.41,0.02
3.7000,6.4200,-6.32,-0.08,-2.61,-0.01,-0.45,-0.2,0.4,0.28,-0.08,0.43,-0.05,-0.4,0.24
3.6600,6.7400,-3.33,-0.19,-0.5,0.54,-0.15,0.0,-0.39,0.1,0.01,0.38,0.14,0.57,0.1
2.2100,6.8200,-7.01,-1.47,1.63,-0.13,-0.44,0.16,-0.77,-0.16,0.66,0.71,0.1,0.51,-0.05
3.5800,7.8900,-12.56,1.29,1.0,1.13,1.0,1.15,-0.06,0.17,-0.01,-0.32,-0.14,-0.35,-0.33
3.9900,6.0800,-3.88,0.96,-0.18,0.03,0.27,0.55,0.01,-0.02,-0.54,0.03,0.22,0.3,-0.15
1.8700,5.2200,-9.59,-3.51,-0.26,-0.2,0.36,0.86,-0.55,0.41,0.65,-0.21,0.0,0.32,0.16
3.4500,6.0900,-12.88,-3.62,-1.31,-0.98,0.66,1.83,-0.21,0.31,0.6,0.15,-0.03,-0.64,0.37
3.0700,5.4000,-14.17,-3.33,0.31,-0.69,-0.6,0.66,-1.41,-0.63,-1.3,-0.17,-0.36,-1.3,-0.64
3.2400,7.0900,-10.77,-2.55,2.91,-0.05,-1.13,0.18,-0.19,-0.01,-0.17,0.8,0.43,-0.52,0.48
3.7300,5.0600,-15.31,-3.3,3.21,-1.12,-0.99,-0.28,-0.01,0.0,-0.09,0.39,-0.13,0.24,-0.38
3.1500,5.5300,-19.64,-6.23,-0.41,-0.76,-0.6,1.73,0.01,0.46,-0.61,0.28,-0.23,-0.52,0.34
3.5400,5.1400,-14.45,-3.08,0.49,-0.5,-1.12,2.1,-0.04,0.82,-0.05,-0.25,-0.55,-0.77,0.33
1.5900,7.0400,-9.93,-3.65,0.0,0.63,-0.77,-0.16,-0.1,-0.2,-0.27,-0.1,-0.24,0.36,0.07
3.6200,5.5400,-10.06,-1.26,2.07,-1.35,-1.35,0.84,0.68,-0.19,-0.9,0.81,0.14,-0.12,-0.26
4.1500,7.1300,-6.28,2.0,0.09,-0.59,-0.08,0.37,-0.43,0.4,-0.18,-0.56,-0.42,0.27,0.0
3.9800,7.0900,-14.25,-2.86,3.21,0.08,-1.74,-0.48,-0.3,0.44,-0.16,0.36,-0.12,0.38,-0.1
3.5900,4.6200,-13.68,-2.37,-0.06,-1.89,-2.59,0.42,-0.34,1.1,0.44,-0.21,-0.39,-0.32,-0.47
3.5000,5.8400,-13.7,-2.72,-2.01,-1.52,-0.79,1.12,-0.96,-0.76,-0.51,-0.57,0.62,0.11,-0.05
