-8.9400,-3.7900,-0.6000,-0.3700,0.5100,-0.3700,-0.1500,0.3100,0.2400,-0.2100,-0.6700,0.1800,-0.0700
-7.1100,-2.0200,1.0700,1.4700,0.8900,0.1400,-0.1800,-0.6300,0.1500,-0.0700,-0.4600,-0.0500,0.1500
-7.9100,-3.3100,0.1400,-0.4200,-0.0100,0.8800,0.4800,0.3700,0.2800,-0.1400,0.0000,0.0800,-0.2200
-23.4400,-4.4900,0.8300,-1.3700,1.2000,-0.7100,0.9700,-0.0300,1.3600,0.4000,0.9800,0.0500,0.6000
-9.0000,-3.1100,0.5400,0.7100,0.1200,-0.3100,0.0900,-0.4600,0.0900,0.4000,-0.0200,0.4600,-0.2700
-10.0600,-4.2600,-0.8100,-0.6800,-0.1500,-0.3200,-1.0500,-0.9900,0.2300,-0.4300,-0.2100,-0.2500,-0.0600
-7.0600,-2.4900,-0.3400,-0.7900,-1.9000,-1.4700,-1.0400,-0.3100,-0.0600,0.1700,-0.1300,0.0500,0.0900
-8.4000,-3.4400,-0.0700,0.7800,0.3500,0.7000,-0.0100,0.0900,0.7600,0.3700,-0.0200,0.7200,0.0500
-9.2300,-1.4800,0.0300,1.4000,0.2800,0.7800,1.5100,-0.5200,-1.0500,-0.6200,-0.7400,0.1600,0.3100
-8.6100,-1.4500,0.2200,0.7700,0.3100,1.1700,0.6700,-0.2600,0.1500,0.2700,-0.3400,0.2900,0.3600
-17.4900,-6.4500,1.1600,0.2900,-0.2700,-0.2400,0.7800,-0.0700,-0.1300,0.2000,-0.1400,0.4700,0.4900
-14.3000,-3.5800,-0.3400,1.3300,0.5400,-0.4200,0.9200,0.1800,0.9600,0.9300,-0.1900,0.1700,-0.0300
-9.3200,-2.2000,-0.3800,0.1800,0.4600,0.6100,0.4300,-1.2100,0.2700,0.3000,0.1800,0.8000,0.0800
-5.5000,-1.8800,1.0100,1.2300,0.5800,-0.4500,-0.3900,-0.7300,-0.5900,-0.1900,-0.2000,-0.0600,-0.2600
-20.1000,-4.8600,-2.0700,1.5100,-0.4000,-1.1300,1.1200,-0.5000,0.0000,1.1700,-0.7000,-0.2400,0.7000
-22.3200,-5.3800,1.4000,-1.2500,0.1900,-1.4500,-0.1200,-1.0600,-0.0800,-0.0700,-0.0900,-0.5100,0.0900
-21.4000,-7.0100,1.2000,-1.4500,-0.6000,-0.2500,-0.1800,-0.0500,1.1000,-0.7400,0.6200,0.3000,0.3000
-7.0700,-3.0900,-0.1800,-0.5000,-0.2200,-0.2300,-1.0900,-0.5900,-0.1800,-0.5900,-0.8500,-0.6000,-0.4700
-8.0200,-1.1000,0.8200,1.0800,-0.7700,-0.5700,1.0700,0.3800,0.2500,0.2700,-1.1800,-0.8800,-0.3600
-8.5400,-4.0500,-0.9800,-0.6600,-0.7200,-1.0100,-0.3800,-0.1400,0.0400,-0.0100,-0.2900,-0.2000,0.0000
-9.0400,-4.5600,-0.8200,-0.3000,-0.8300,-0.3900,-0.6200,-0.5100,-0.5200,-0.1200,-0.1700,0.4200,0.4500
-11.6600,-3.6900,0.8600,0.2400,0.0000,-1.2000,-0.4100,-0.8100,0.4300,0.3900,-0.0700,0.1000,0.3400
-8.2600,-1.8000,-0.1900,0.7000,1.1900,0.4100,-0.3800,-1.6300,-0.8700,-0.6500,-0.3600,-0.2700,-0.7200
-9.1800,-1.7400,-1.1900,-0.2500,-0.6400,-0.7600,0.0300,-1.9900,-0.8400,-0.0200,0.0700,0.1700,-0.4700
-10.0100,-3.4500,0.9100,0.0000,-0.5900,-0.3100,-0.1000,-0.7500,0.0900,0.3100,0.2400,0.0000,-0.2800
-8.5200,-3.1600,-0.0100,-0.0600,-0.8200,-0.9600,-0.9200,-0.7700,0.3800,-0.2200,-0.1100,-0.2300,-0.1900
-11.6500,-3.9600,-0.5200,0.8900,-0.4300,-1.2500,0.2400,0.1400,0.4200,-0.3500,-0.6700,0.3800,0.5000
-8.2800,-4.0800,-0.0900,0.9300,0.6000,0.3100,0.1400,-0.6500,0.4500,0.1300,-0.9600,-0.8800,-0.2900
-7.4400,-2.8900,0.2900,-0.3900,-0.0900,0.5400,0.7500,0.3100,0.2200,0.0500,0.2400,0.2700,0.0300
-15.3100,-4.8100,-1.6200,2.0400,0.4900,-0.3900,0.4400,-0.1000,1.0500,0.4600,-0.3000,-0.0600,0.7000
-7.9600,-2.8700,0.2900,0.4600,0.2000,-0.1700,0.1500,0.8300,0.2900,0.4100,0.0300,0.2500,0.0900
-9.4400,-1.3100,0.6400,1.3600,0.7900,0.4700,0.5000,-0.3400,-0.5000,-0.9800,-0.9500,-0.8300,-0.2700
