d,m,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
3.2000,5.7600,-12.35,-1.79,1.01,0.31,-0.21,-0.12,-0.53,1.4,-0.6,0.38,0.83,-0.24,-0.19
2.6200,5.8300,-11.19,-4.08,1.57,1.21,-1.34,-0.75,0.02,0.18,-0.24,0.98,-0.25,-0.06,0.23
3.7100,6.5100,-6.74,1.23,1.9,0.34,-0.83,-0.04,-0.09,0.43,0.34,-0.12,-0.03,-0.01,0.15
5.5200,6.3300,-23.42,-8.92,-1.02,-0.79,-1.53,2.6,-0.65,-1.56,0.52,0.54,0.44,0.63,0.14
3.1800,4.8900,-10.63,-2.52,-0.2,-1.12,-0.79,1.78,-0.28,-0.17,-0.14,0.22,0.42,-0.16,-0.64
3.3500,5.4600,-13.1,-2.44,-1.81,-0.42,0.38,1.72,-0.18,-0.43,-1.1,-1.03,-0.42,-0.92,-1.02
2.2500,4.7100,-13.6,-4.26,-0.19,-0.88,-0.73,0.01,-0.48,0.08,0.23,0.38,-1.24,-0.16,-1.12
4.8300,7.0600,-12.77,3.8,-0.31,-0.98,-1.11,0.03,-1.29,0.21,-0.27,-0.18,-0.05,0.28,-0.27
5.0700,8.0200,-9.3,3.42,-0.39,-0.56,0.42,-0.48,0.37,-0.03,-0.3,0.2,-0.56,0.39,0.16
6.9600,7.9200,-10.12,5.38,-2.61,0.7,0.02,-0.06,-0.58,-0.17,-0.32,-0.08,-0.09,0.0,0.44
1.7800,6.3500,-9.97,-4.1,-0.41,-0.29,-0.07,0.89,-0.37,0.26,0.39,-0.53,-0.39,-0.13,0.15
5.6600,7.3900,-9.8,4.1,0.27,0.32,-0.79,0.5,-0.07,-0.41,-0.25,-0.31,0.37,-0.34,-0.13
4.4000,6.9200,-10.93,-3.35,-3.72,-1.2,-2.48,-0.43,0.93,0.4,-0.12,-0.83,-0.23,0.27,-0.26
2.1800,5.9700,-11.32,-4.31,0.66,1.58,-0.94,-0.43,0.03,-0.34,-0.23,0.86,0.35,-0.24,0.03
3.0700,6.8400,-11.43,-3.04,-0.84,-0.65,0.32,1.06,-0.89,0.12,1.27,1.09,0.32,-1.11,-0.32
2.1800,5.1500,-11.41,-3.96,0.03,-0.67,0.58,1.01,-0.21,-0.33,0.54,0.12,0.24,-0.86,-0.52
4.4100,5.7300,-9.97,2.74,0.9,0.69,-0.13,0.02,-0.58,0.84,0.89,-0.19,-0.79,0.19,0.99
4.3900,7.0000,-13.75,-3.43,-2.69,-0.1,2.34,1.62,-0.62,0.25,0.71,-0.25,-0.32,0.1,0.61
3.8300,5.9300,-15.93,-5.36,-1.12,0.09,-0.64,1.55,-1.46,0.16,0.43,-0.39,-1.03,-0.75,-1.14
2.0400,6.4100,-9.21,-3.83,0.0,1.61,-0.27,-0.74,-0.56,-0.34,-0.14,0.78,0.4,0.07,0.11
3.9300,6.0000,-15.61,-2.22,0.62,-0.17,-1.64,1.23,-0.58,0.59,0.5,-0.24,-0.22,-0.79,0.74
3.9100,6.1600,-16.84,-3.56,-0.52,-0.87,0.54,1.8,-0.81,0.31,-0.26,0.11,-0.13,-1.39,0.15
2.4500,5.6100,-11.67,-3.79,-1.32,-0.42,-0.79,0.62,-0.35,0.38,0.97,0.07,-0.22,0.02,-0.1
2.4800,9.0200,-10.51,-2.52,1.07,0.95,0.77,1.24,0.43,0.94,0.0,0.04,-0.51,-0.42,0.03
